campus_id,pais,lat,lon,n_predios,nome,operadora,municipio,uf,ano_operacional,fonte,origem_data,no_estudo_atual,tem_data,pct_veg_densa,pct_veg_rala,pct_solo_exposto,pct_construida,pct_agua,lst_campus,lst_referencia,anomalia_termica_c,frac_built_inicio,greenfield
br-0060,BR,-3.781561141089867,-38.55193468110386,1,Hostweb Fortaleza,Hostweb,Fortaleza,,,datacentermap,,False,False,6.629647942677247,0.9586034886369685,0.0,91.65799498906381,0.7537535796219749,38.00771982579286,36.58090108348871,1.4268187423041496,,
br-0061,BR,-7.2280191,-35.8828993,1,Hostzone CGE1,Hostzone,Campina Grande,Paraiba,,datacentermap,,False,False,0.2982956539409452,0.23011379018301487,0.025568198909223877,94.91192841706444,4.534093939902367,39.074341430889,36.35952555021359,2.7148158806754097,,
br-0062,BR,-8.055152,-34.9105355,1,HOTlink Internet Data Center,hotlink internet ltda,Recife,Pernambuco,,datacentermap,,False,False,0.7224832004089891,3.189110867003556,0.0,93.38083820033347,2.707567732253979,39.37665320131063,34.30698523868449,5.069667962626141,,
br-0063,BR,-25.4598581,-49.2889804,1,Hunti CTA1,Hunti Data,Curitiba,Paraná,,datacentermap,,False,False,0.17703985940610875,0.0,0.0,99.82296014059389,0.0,27.448466667451832,27.926635215299004,-0.4781685478471722,,
br-0064,BR,-10.1875328,-48.340776,1,IDX Data Centers & IT Services,IDX Data Centers & IT Services,Palmas,Tocantins,2022.0,datacentermap,declarada_datacentermap,False,True,19.68023210009071,4.52690214394072,0.32586965883624175,75.46699609713232,0.0,37.966856799207186,33.28324710179943,4.6836096974077535,,
br-0065,BR,-3.8307848166666663,-38.61124551666666,6,IPXON Fortaleza,IPXON Networks,Fortaleza,,2015.0,datacentermap+osm,declarada_datacentermap,True,True,12.633742159291813,1.528717200964499,0.38487404745245446,85.45266659229122,0.0,36.74321539824469,35.887474966939585,0.855740431305108,,
br-0066,BR,-22.91115381612668,-47.06251490681609,2,Local DC Campinas,Local DC,Campinas,,2025.0,datacentermap,declarada_datacentermap,False,True,1.2406061919189735,0.0,0.0,98.75939380808103,0.0,33.2740377064782,32.0973357079193,1.1767019985588973,,
br-0067,BR,-30.0121095,-51.1432885,1,Maila Networks - DC2 ,Maila Networks,Porto Alegre,Rio Grande do Sul (RS),,datacentermap,,False,False,2.2693020184732813,0.11998387552939117,0.0,97.61071410599733,0.0,37.80824016752339,34.059556810808424,3.748683356714963,,
br-0068,BR,-19.9408887,-43.9240841,1,Master da Web,Master da Web,Belo Horizonte,Minas Gerais,,datacentermap,,False,False,0.05005406526343857,0.0,0.0,99.94994593473656,0.0,30.798927381154876,30.962251698713814,-0.1633243175589385,,
br-0069,BR,-23.5799648,-46.6410651,1,Latitude.sh SAO,Latitude.sh,Sao Paulo,SP,2016.0,datacentermap,declarada_datacentermap,False,True,0.0528557469042707,0.0,0.0,99.94714425309573,0.0,29.77277774170903,32.301702443361876,-2.528924701652844,,
