pareado_com,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2018,-1,True,2610,64.4061
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2019,0,True,2610,58.9655
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2020,1,True,2610,62.4138
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2021,2,True,2610,71.6475
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2022,3,True,2610,68.0077
ascenty-paulinia,ascenty-paulinia,tratamento,1-2km,landsat,2016,-3,True,10486,45.2317
ascenty-paulinia,ascenty-paulinia,tratamento,1-2km,landsat,2017,-2,True,10486,41.6174
ascenty-paulinia,ascenty-paulinia,tratamento,1-2km,landsat,2018,-1,True,10486,40.9022
ascenty-paulinia,ascenty-paulinia,tratamento,1-2km,landsat,2019,0,True,10486,33.3015
ascenty-paulinia,ascenty-paulinia,tratamento,1-2km,landsat,2020,1,True,10486,39.6052
ascenty-paulinia,ascenty-paulinia,tratamento,1-2km,landsat,2021,2,True,10486,43.477
ascenty-paulinia,ascenty-paulinia,tratamento,1-2km,landsat,2022,3,True,10486,39.0902
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2014,-3,False,874,64.5309
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2015,-2,False,874,59.611
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2016,-1,False,874,61.8993
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2017,0,False,874,68.8787
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2018,1,False,874,68.1922
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2019,2,False,874,67.5057
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0-0.5km,landsat,2020,3,False,874,69.6796
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2014,-3,False,2611,35.2738
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,0.5-1km,landsat,2015,-2,False,2611,35.7334
